cod_tab_preco,nom_tab_preco,ind_ajuste,perc_ajuste,ind_tab_padrao,perc_urgencia,cod_unid_oper,cod_unid_negoc,ind_situacao,cod_tab_desc_progres,ind_aceita_bonus,ind_plano_saude,cod_produto,dat_vigencia,vlr_produto,vlr_prod_urg,vlr_cus_prod,vlr_cus_medio,perc_mrg_lucro,vlr_desc_comis,vlr_desc_apoio,vlr_prod_complementar,vlr_ultima_compra
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11962,2021-02-03,852.0,852.0,461.5,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11963,2021-02-03,1032.0,1032.0,559.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11964,2021-02-03,1224.0,1224.0,663.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11918,2021-02-03,300.0,300.0,195.0,195.0,0.0,,,,195.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11917,2021-02-03,300.0,300.0,195.0,195.0,0.0,,,,195.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11932,2021-02-03,40.0,40.0,19.5,19.5,0.0,,,,19.5
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11935,2021-02-03,80.0,80.0,45.5,45.5,0.0,,,,45.5
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11915,2021-02-03,300.0,300.0,195.0,195.0,0.0,,,,195.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11914,2021-02-03,300.0,300.0,195.0,195.0,0.0,,,,195.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11916,2021-02-03,300.0,300.0,195.0,195.0,0.0,,,,195.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11912,2021-02-03,300.0,300.0,195.0,195.0,0.0,,,,195.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11946,2021-02-03,130.0,130.0,100.0,100.0,0.0,,,,100.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11955,2021-02-03,130.0,130.0,84.5,84.5,0.0,,,,84.5
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11957,2021-02-03,130.0,130.0,84.5,84.5,0.0,,,,84.5
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11490,2021-02-03,120.0,120.0,29.43,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11966,2021-02-03,276.0,276.0,100.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11440,2021-02-03,160.0,160.0,160.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11968,2021-02-03,18.0,18.0,10.08,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11944,2021-02-03,2.0,2.0,1.49,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11969,2021-02-03,14.0,14.0,6.52,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4279,2021-02-03,14.0,14.0,9.74,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,650,2021-02-03,43.0,43.0,30.31,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11538,2021-02-03,8.44,8.44,8.44,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4856,2021-02-03,0.21,0.21,0.21,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,9517,2021-02-03,15.45,15.45,15.45,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11154,2021-02-03,13.57,13.57,13.57,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,9653,2021-02-03,14.85,14.85,14.85,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11156,2021-02-03,100.0,100.0,91.67,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11952,2021-02-03,110.0,110.0,110.0,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11210,2021-02-03,45.0,45.0,10.58,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4706,2021-02-03,16.0,16.0,13.06,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,8739,2021-02-03,11.0,11.0,7.12,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,8738,2021-02-03,20.0,20.0,13.72,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4309,2021-02-03,5.0,5.0,1.4,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11967,2021-02-03,16.27,16.27,16.27,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11552,2021-02-03,8.0,8.0,6.5,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11435,2021-02-03,23.0,23.0,17.67,,,,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,9513,2021-02-03,41.0,41.0,29.24,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,5377,2021-02-03,12.0,12.0,8.61,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,5380,2021-02-03,8.0,8.0,5.6,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11965,2021-02-03,16.0,16.0,16.0,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11111,2021-02-03,28.13,28.13,28.13,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,10130,2021-02-03,1.0,1.0,0.25,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,5477,2021-02-03,21.0,21.0,13.116,,,,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4697,2021-02-03,10.0,10.0,5.2,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4811,2021-02-03,33.0,33.0,28.79,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4300,2021-02-03,,,5.67,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,10329,2021-02-03,0.75,0.75,0.753,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,1628,2021-02-03,17.0,17.0,13.004,,,,0.0,,
